year,count_date,fish_count,Species,Species_ID,count_location,count_location_ID
2019,5/7/19,0,Chinook,410,Anchor River,9
2019,5/8/19,1,Chinook,410,Anchor River,9
2019,5/9/19,0,Chinook,410,Anchor River,9
2019,5/10/19,0,Chinook,410,Anchor River,9
2019,5/11/19,0,Chinook,410,Anchor River,9
2019,5/12/19,0,Chinook,410,Anchor River,9
2019,5/13/19,9,Chinook,410,Anchor River,9
2019,5/14/19,0,Chinook,410,Anchor River,9
2019,5/15/19,6,Chinook,410,Anchor River,9
2019,5/16/19,0,Chinook,410,Anchor River,9
2019,5/17/19,6,Chinook,410,Anchor River,9
2019,5/18/19,3,Chinook,410,Anchor River,9
2019,5/19/19,28,Chinook,410,Anchor River,9
2019,5/20/19,5,Chinook,410,Anchor River,9
2019,5/21/19,15,Chinook,410,Anchor River,9
2019,5/22/19,18,Chinook,410,Anchor River,9
2019,5/23/19,11,Chinook,410,Anchor River,9
2019,5/24/19,63,Chinook,410,Anchor River,9
2019,5/25/19,12,Chinook,410,Anchor River,9
2019,5/26/19,67,Chinook,410,Anchor River,9
2019,5/27/19,49,Chinook,410,Anchor River,9
2019,5/28/19,135,Chinook,410,Anchor River,9
2019,5/29/19,211,Chinook,410,Anchor River,9
2019,5/30/19,109,Chinook,410,Anchor River,9
2019,5/31/19,61,Chinook,410,Anchor River,9
2019,6/1/19,64,Chinook,410,Anchor River,9
2019,6/2/19,65,Chinook,410,Anchor River,9
2019,6/3/19,198,Chinook,410,Anchor River,9
2019,6/4/19,141,Chinook,410,Anchor River,9
2019,6/5/19,75,Chinook,410,Anchor River,9
2019,6/6/19,98,Chinook,410,Anchor River,9
2019,6/7/19,99,Chinook,410,Anchor River,9
2019,6/8/19,60,Chinook,410,Anchor River,9
2019,6/9/19,59,Chinook,410,Anchor River,9
2019,6/10/19,64,Chinook,410,Anchor River,9
2019,6/11/19,68,Chinook,410,Anchor River,9
2019,6/12/19,184,Chinook,410,Anchor River,9
2019,6/13/19,66,Chinook,410,Anchor River,9
2019,6/14/19,65,Chinook,410,Anchor River,9
2019,6/15/19,30,Chinook,410,Anchor River,9
2019,6/16/19,40,Chinook,410,Anchor River,9
2019,6/17/19,103,Chinook,410,Anchor River,9
2019,6/18/19,47,Chinook,410,Anchor River,9
2019,6/19/19,42,Chinook,410,Anchor River,9
2019,6/20/19,59,Chinook,410,Anchor River,9
2019,6/21/19,63,Chinook,410,Anchor River,9
2019,6/22/19,51,Chinook,410,Anchor River,9
2019,6/23/19,143,Chinook,410,Anchor River,9
2019,6/24/19,458,Chinook,410,Anchor River,9
2019,6/25/19,250,Chinook,410,Anchor River,9
2019,6/26/19,77,Chinook,410,Anchor River,9
2019,6/27/19,98,Chinook,410,Anchor River,9
2019,6/28/19,57,Chinook,410,Anchor River,9
2019,6/29/19,154,Chinook,410,Anchor River,9
2019,6/30/19,468,Chinook,410,Anchor River,9
2019,7/1/19,122,Chinook,410,Anchor River,9
